YEAR,SCHOOL_TYPE,METRICS,GENDER,ABIA,ABUJA,ADAMAWA,AKWA IBOM,ANAMBRA,BAUCHI,BAYELSA,BENUE,BORNO,CROSS RIVER,DELTA,EBONYI,EDO,EKITI,ENUGU,GOMBE,IMO,JIGAWA,KADUNA,KANO,KATSINA,KEBBI,KOGI,KWARA,LAGOS,NASSARAWA,NIGER,OGUN,ONDO,OSUN,OYO,PLATEAU,RIVERS,SOKOTO,TARABA,YOBE,ZAMFARA,NIGERIA,OFFSHORE
2016,PRIVATE,TOTAL NUMBER SAT,MALE,309,1530,140,1039,823,124,128,544,43,522,1820,186,920,374,2399,54,658,166,963,2023,213,279,2201,1597,38795,853,1138,13034,680,1442,6934,659,5363,136,107,29,127,88352,
2016,PRIVATE,TOTAL NUMBER SAT,FEMALE,276,1387,80,985,846,54,109,291,25,492,1695,109,739,285,2290,14,540,41,572,737,151,120,1695,1487,40110,595,851,13722,559,1311,7080,445,4605,93,49,4,25,84469,
2016,PRIVATE,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,MALE,65,164,24,262,200,17,49,43,3,93,531,30,261,92,929,5,194,22,233,494,24,105,456,544,19640,285,477,7399,150,401,2447,219,2655,11,7,9,9,38549,
2016,PRIVATE,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,FEMALE,59,153,6,248,236,6,37,26,2,67,519,23,220,66,945,1,156,5,123,253,11,52,411,515,21584,220,343,8123,102,292,2600,163,2636,19,1,0,3,40226,
2016,PRIVATE,5 CREDITS AND ABOVE INCLUDING MATHEMATICS,MALE,39,111,9,146,183,13,43,25,5,48,454,22,210,65,778,2,129,31,184,426,20,110,489,552,19693,272,345,7091,127,356,1815,198,2551,8,6,7,18,36581,
2016,PRIVATE,5 CREDITS AND ABOVE INCLUDING MATHEMATICS,FEMALE,27,80,4,131,188,3,27,10,1,32,436,10,151,56,701,1,95,6,69,219,3,60,430,483,20979,215,235,7508,68,226,1602,117,2499,12,0,0,2,36686,
2016,PRIVATE,5 CREDITS & ABOVE INCLUDING MATHEMATICS & ENGLISH LANG.,MALE,35,100,9,125,138,11,38,16,3,44,383,17,173,53,681,1,112,17,148,329,14,100,371,438,16727,239,277,6221,110,306,1533,164,2174,7,3,7,6,31130,
2016,PRIVATE,5 CREDITS & ABOVE INCLUDING MATHEMATICS & ENGLISH LANG.,FEMALE,25,79,4,113,144,3,27,10,1,28,360,9,135,43,624,1,82,4,60,178,3,49,319,399,18224,183,187,6727,64,203,1377,96,2174,12,0,0,0,31947,
2016,PUBLIC,TOTAL NUMBER SAT,MALE,24322,9081,14209,29079,18153,19539,10059,24469,8866,20418,25384,11984,30737,9320,19228,10963,21132,17310,51183,29193,13738,18809,18747,17993,69062,27977,31576,41516,17871,18322,34361,21963,29717,18486,11350,9568,19774,825485,26
2016,PUBLIC,TOTAL NUMBER SAT,FEMALE,27405,11060,9956,30900,22392,9975,9314,18647,5648,19088,25832,12162,30948,9243,23546,6782,22720,5718,39431,20636,6666,8243,15273,16635,76124,20354,21937,43370,17020,18363,36679,18458,31956,7288,7233,3810,7647,718489,30
2016,PUBLIC,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,MALE,20403,6336,7736,17410,14919,6999,8135,15942,5519,14595,17701,6967,25090,5993,14940,2255,16898,3938,30728,12800,6691,4995,10637,11397,51023,16964,12065,23718,13771,10204,15711,14396,24895,6202,8166,1731,4066,491942,6
2016,PUBLIC,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,FEMALE,23564,7315,5335,19378,18833,4582,7776,12235,3594,14195,18596,6936,26247,6582,18188,1894,18989,1386,25448,10445,3268,2598,9242,11078,57611,12912,9742,26075,13602,10725,17007,12369,27376,2793,5187,815,1959,475887,10
2016,PUBLIC,5 CREDITS AND ABOVE INCLUDING MATHEMATICS,MALE,18485,5268,7211,16960,13956,7870,8097,16106,5645,12903,17557,6649,25237,5722,13000,2277,16249,5847,34433,14203,6784,7357,11419,12491,46379,19979,13311,22999,12673,9635,15032,12867,24102,7524,7959,1736,5610,491539,7
2016,PUBLIC,5 CREDITS AND ABOVE INCLUDING MATHEMATICS,FEMALE,20688,5327,5058,18705,17040,4877,7468,12300,3842,12253,18273,6489,25875,6231,14841,2069,18027,2461,28501,11755,3516,3501,9309,11840,51058,14597,10213,24939,12290,9937,16129,10844,25848,4252,5006,1022,2805,459191,5
2016,PUBLIC,5 CREDITS & ABOVE INCLUDING MATHEMATICS & ENGLISH LANG.,MALE,17264,4895,6097,14225,12724,5848,7209,12573,4598,11812,15542,5272,22257,4770,12003,1597,14984,2968,26976,9932,5187,4197,8781,9730,43431,14579,9859,21478,11475,8200,12408,10781,22240,5171,7026,1227,3061,412383,6
2016,PUBLIC,5 CREDITS & ABOVE INCLUDING MATHEMATICS & ENGLISH LANG.,FEMALE,19526,5046,4210,15669,15790,3761,6779,9634,3081,11239,16344,5074,23317,5312,13683,1450,16760,1160,22554,8467,2603,1771,7358,9346,47978,10962,8262,23370,11123,8481,13199,9210,23998,2434,4393,629,1421,395397,3
2017,PRIVATE,TOTAL NUMBER SAT,MALE,331,1282,178,614,550,78,184,389,154,428,1199,121,773,310,1414,32,445,82,556,980,135,72,1011,1361,28929,612,920,11639,625,1257,5702,405,4277,95,105,24,30,67299,
2017,PRIVATE,TOTAL NUMBER SAT,FEMALE,279,1313,135,578,576,35,146,205,63,434,1172,78,622,228,1373,26,391,22,374,501,132,39,838,1356,29954,506,682,12426,568,1169,5600,302,3719,54,42,3,18,65959,
2017,PRIVATE,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,MALE,128,129,3,97,120,7,51,31,10,50,277,25,137,60,347,3,82,0,88,371,5,4,94,425,11957,184,274,5876,96,335,1642,109,1411,13,5,3,3,24452,
2017,PRIVATE,5 CREDITS AND ABOVE INCLUDING ENGLISH LANGUAGE,FEMALE,116,139,2,84,107,6,41,18,6,44,256,11,90,27,314,3,60,0,39,244,6,1,98,372,12819,175,206,6486,81,251,1478,83,1344,2,2,0,0,25011,
